,label,real duration,memory usage,steps,elapsed,nx,ny,solver,tolerence,free energy at elapsed,cvar_Interpolated_Function,dt,dx,dy,sweeps,L1,L2,Linf
158,1b3f9740788f,22680.254019975662,223.636719,953,3000.0,200,200,PCG,0.1,420583.732251,,4.63852241667,1.0,1.0,8,12944.231967270931,61.879832871290994,0.39694568159168314
159,3c366474738b,27020.578225135803,223.636719,25,1.0,200,200,PCG,0.1,2283.98454277,,0.0165294056612,1.0,1.0,4,5.5424325451418905,0.041164200858225981,0.0015588442344870446
160,3c366474738b,27020.578225135803,223.636719,42,5.0,200,200,PCG,0.1,15162.2984869,,0.104952481839,1.0,1.0,4,22.157010080830226,0.12957820265427558,0.0043159811954889271
161,3c366474738b,27020.578225135803,223.636719,50,10.0,200,200,PCG,0.1,242835.979365,,0.276794734012,1.0,1.0,4,129.85613302231539,0.54632366810817989,0.010600592038075063
162,3c366474738b,27020.578225135803,223.636719,61,20.0,200,200,PCG,0.1,1740416.24656,,0.444615342716,1.0,1.0,4,461.67411514633409,1.5404959709386845,0.024391455067243384
163,3c366474738b,27020.578225135803,223.636719,117,100.0,200,200,PCG,0.1,805615.895953,,0.305303718863,1.0,1.0,4,1875.5263191405668,14.292697469838977,0.3711064846639936
164,3c366474738b,27020.578225135803,223.636719,180,200.0,200,200,PCG,0.1,621980.345114,,0.934729375003,1.0,1.0,4,2820.0359125597638,20.209879805308713,0.38492583621968163
165,3c366474738b,27020.578225135803,223.636719,366,500.0,200,200,PCG,0.1,553701.044261,,0.070877721757,1.0,1.0,4,5317.3323343675402,32.196757387251367,0.39377840312466467
166,3c366474738b,27020.578225135803,223.636719,668,1000.0,200,200,PCG,0.1,521138.405839,,1.02152403618,1.0,1.0,4,8344.8008706653436,44.682607706057993,0.39632120202121957
167,3c366474738b,27020.578225135803,223.636719,1323,2000.0,200,200,PCG,0.1,446103.937566,,0.567361257804,1.0,1.0,4,10827.412382195616,54.096303387470989,0.39644450255079167
168,3c366474738b,27020.578225135803,223.636719,1913,3000.0,200,200,PCG,0.1,420387.380197,,0.577212021417,1.0,1.0,4,12932.724276879868,61.841684706473622,0.39694753325370419
